"filename", "language", "HTML", "JavaScript", "CSS", "JSON", "XML", "comment", "blank", "total"
"e:\Cephas Laravel\the_notice_board\dist\output.css", "CSS", 0, 0, 1171, 0, 0, 154, 338, 1663
"e:\Cephas Laravel\the_notice_board\images\notice-board-logo-o.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"e:\Cephas Laravel\the_notice_board\images\notice-board-logo-s.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"e:\Cephas Laravel\the_notice_board\images\notice-board-logo-w.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"e:\Cephas Laravel\the_notice_board\images\notice-board-amber.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"e:\Cephas Laravel\the_notice_board\images\notice-board-slate.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"e:\Cephas Laravel\the_notice_board\images\notice-board-white.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"e:\Cephas Laravel\the_notice_board\package-lock.json", "JSON", 0, 0, 0, 2223, 0, 0, 1, 2224
"e:\Cephas Laravel\the_notice_board\package.json", "JSON", 0, 0, 0, 5, 0, 0, 1, 6
"e:\Cephas Laravel\the_notice_board\src\add_item.html", "HTML", 92, 0, 0, 0, 0, 7, 21, 120
"e:\Cephas Laravel\the_notice_board\src\buy_now.html", "HTML", 227, 0, 0, 0, 0, 12, 20, 259
"e:\Cephas Laravel\the_notice_board\src\forgot.html", "HTML", 135, 0, 0, 0, 0, 4, 15, 154
"e:\Cephas Laravel\the_notice_board\src\home.html", "HTML", 209, 0, 0, 0, 0, 19, 21, 249
"e:\Cephas Laravel\the_notice_board\src\input.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 3
"e:\Cephas Laravel\the_notice_board\src\item.html", "HTML", 393, 0, 0, 0, 0, 15, 25, 433
"e:\Cephas Laravel\the_notice_board\src\login.html", "HTML", 184, 0, 0, 0, 0, 5, 12, 201
"e:\Cephas Laravel\the_notice_board\src\market_place.html", "HTML", 1227, 0, 0, 0, 0, 50, 74, 1351
"e:\Cephas Laravel\the_notice_board\src\navigator.js", "JavaScript", 0, 6, 0, 0, 0, 0, 3, 9
"e:\Cephas Laravel\the_notice_board\src\register.html", "HTML", 195, 0, 0, 0, 0, 8, 12, 215
"e:\Cephas Laravel\the_notice_board\src\splash.html", "HTML", 34, 0, 0, 0, 0, 6, 8, 48
"e:\Cephas Laravel\the_notice_board\tailwind.config.js", "JavaScript", 0, 7, 0, 0, 0, 0, 1, 8
"Total", "-", 2696, 13, 1174, 2228, 21, 280, 558, 6970